method,query_type,num_relations,graph_type,problem,num_decimal_pos,num_thres,num_mandatory_vars,num_approx_vars,num_total_vars
Legacy,steinbrunn,6,CHAIN,4,1,5,126,175,301
Novel,steinbrunn,6,CHAIN,4,1,5,44,120,164
Legacy,steinbrunn,6,CHAIN,4,1,6,126,210,336
Novel,steinbrunn,6,CHAIN,4,1,6,44,156,200
Legacy,steinbrunn,6,CHAIN,4,1,7,126,245,371
Novel,steinbrunn,6,CHAIN,4,1,7,44,196,240
Legacy,steinbrunn,6,CHAIN,4,1,8,126,280,406
Novel,steinbrunn,6,CHAIN,4,1,8,44,240,284
Legacy,steinbrunn,6,CHAIN,4,2,1,126,48,174
Novel,steinbrunn,6,CHAIN,4,2,1,44,28,72
Legacy,steinbrunn,6,CHAIN,4,2,2,126,96,222
Novel,steinbrunn,6,CHAIN,4,2,2,44,60,104
Legacy,steinbrunn,6,CHAIN,4,2,3,126,144,270
Novel,steinbrunn,6,CHAIN,4,2,3,44,96,140
Legacy,steinbrunn,6,CHAIN,4,2,4,126,192,318
Novel,steinbrunn,6,CHAIN,4,2,4,44,136,180
Legacy,steinbrunn,6,CHAIN,4,2,5,126,240,366
Novel,steinbrunn,6,CHAIN,4,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,4,2,6,126,288,414
Novel,steinbrunn,6,CHAIN,4,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,4,2,7,126,336,462
Novel,steinbrunn,6,CHAIN,4,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,4,2,8,126,384,510
Novel,steinbrunn,6,CHAIN,4,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,5,0,1,126,22,148
Novel,steinbrunn,6,CHAIN,5,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,5,0,2,126,44,170
Novel,steinbrunn,6,CHAIN,5,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,5,0,3,126,66,192
Novel,steinbrunn,6,CHAIN,5,0,3,44,24,68
Legacy,steinbrunn,6,CHAIN,5,0,4,126,88,214
Novel,steinbrunn,6,CHAIN,5,0,4,44,40,84
Legacy,steinbrunn,6,CHAIN,5,0,5,126,110,236
Novel,steinbrunn,6,CHAIN,5,0,5,44,60,104
Legacy,steinbrunn,6,CHAIN,5,0,6,126,132,258
Novel,steinbrunn,6,CHAIN,5,0,6,44,84,128
Legacy,steinbrunn,6,CHAIN,5,0,7,126,154,280
Novel,steinbrunn,6,CHAIN,5,0,7,44,112,156
Legacy,steinbrunn,6,CHAIN,5,0,8,126,176,302
Novel,steinbrunn,6,CHAIN,5,0,8,44,144,188
Legacy,steinbrunn,6,CHAIN,5,1,1,126,34,160
Novel,steinbrunn,6,CHAIN,5,1,1,44,16,60
Legacy,steinbrunn,6,CHAIN,5,1,2,126,68,194
Novel,steinbrunn,6,CHAIN,5,1,2,44,36,80
Legacy,steinbrunn,6,CHAIN,5,1,3,126,102,228
Novel,steinbrunn,6,CHAIN,5,1,3,44,60,104
Legacy,steinbrunn,6,CHAIN,5,1,4,126,136,262
Novel,steinbrunn,6,CHAIN,5,1,4,44,88,132
Legacy,steinbrunn,6,CHAIN,5,1,5,126,170,296
Novel,steinbrunn,6,CHAIN,5,1,5,44,120,164
Legacy,steinbrunn,6,CHAIN,5,1,6,126,204,330
Novel,steinbrunn,6,CHAIN,5,1,6,44,156,200
Legacy,steinbrunn,6,CHAIN,5,1,7,126,238,364
Novel,steinbrunn,6,CHAIN,5,1,7,44,196,240
Legacy,steinbrunn,6,CHAIN,5,1,8,126,272,398
Novel,steinbrunn,6,CHAIN,5,1,8,44,240,284
Legacy,steinbrunn,6,CHAIN,5,2,1,126,47,173
Novel,steinbrunn,6,CHAIN,5,2,1,44,28,72
Legacy,steinbrunn,6,CHAIN,5,2,2,126,94,220
Novel,steinbrunn,6,CHAIN,5,2,2,44,60,104
Legacy,steinbrunn,6,CHAIN,5,2,3,126,141,267
Novel,steinbrunn,6,CHAIN,5,2,3,44,96,140
Legacy,steinbrunn,6,CHAIN,5,2,4,126,188,314
Novel,steinbrunn,6,CHAIN,5,2,4,44,136,180
Legacy,steinbrunn,6,CHAIN,5,2,5,126,235,361
Novel,steinbrunn,6,CHAIN,5,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,5,2,6,126,282,408
Novel,steinbrunn,6,CHAIN,5,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,5,2,7,126,329,455
Novel,steinbrunn,6,CHAIN,5,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,5,2,8,126,376,502
Novel,steinbrunn,6,CHAIN,5,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,6,0,1,126,22,148
Novel,steinbrunn,6,CHAIN,6,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,6,0,2,126,44,170
Novel,steinbrunn,6,CHAIN,6,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,6,0,3,126,66,192
Novel,steinbrunn,6,CHAIN,6,0,3,44,24,68
Legacy,steinbrunn,6,CHAIN,6,0,4,126,88,214
Novel,steinbrunn,6,CHAIN,6,0,4,44,40,84
Legacy,steinbrunn,6,CHAIN,6,0,5,126,110,236
Novel,steinbrunn,6,CHAIN,6,0,5,44,60,104
Legacy,steinbrunn,6,CHAIN,6,0,6,126,132,258
Novel,steinbrunn,6,CHAIN,6,0,6,44,84,128
Legacy,steinbrunn,6,CHAIN,6,0,7,126,154,280
Novel,steinbrunn,6,CHAIN,6,0,7,44,112,156
Legacy,steinbrunn,6,CHAIN,6,0,8,126,176,302
Novel,steinbrunn,6,CHAIN,6,0,8,44,144,188
Legacy,steinbrunn,6,CHAIN,6,1,1,126,35,161
Novel,steinbrunn,6,CHAIN,6,1,1,44,16,60
Legacy,steinbrunn,6,CHAIN,6,1,2,126,70,196
Novel,steinbrunn,6,CHAIN,6,1,2,44,36,80
Legacy,steinbrunn,6,CHAIN,6,1,3,126,105,231
Novel,steinbrunn,6,CHAIN,6,1,3,44,60,104
Legacy,steinbrunn,6,CHAIN,6,1,4,126,140,266
Novel,steinbrunn,6,CHAIN,6,1,4,44,88,132
Legacy,steinbrunn,6,CHAIN,6,1,5,126,175,301
Novel,steinbrunn,6,CHAIN,6,1,5,44,120,164
Legacy,steinbrunn,6,CHAIN,6,1,6,126,210,336
Novel,steinbrunn,6,CHAIN,6,1,6,44,156,200
Legacy,steinbrunn,6,CHAIN,6,1,7,126,245,371
Novel,steinbrunn,6,CHAIN,6,1,7,44,196,240
Legacy,steinbrunn,6,CHAIN,6,1,8,126,280,406
Novel,steinbrunn,6,CHAIN,6,1,8,44,240,284
Legacy,steinbrunn,6,CHAIN,6,2,1,126,47,173
Novel,steinbrunn,6,CHAIN,6,2,1,44,28,72
Legacy,steinbrunn,6,CHAIN,6,2,2,126,94,220
Novel,steinbrunn,6,CHAIN,6,2,2,44,60,104
Legacy,steinbrunn,6,CHAIN,6,2,3,126,141,267
Novel,steinbrunn,6,CHAIN,6,2,3,44,96,140
Legacy,steinbrunn,6,CHAIN,6,2,4,126,188,314
Novel,steinbrunn,6,CHAIN,6,2,4,44,136,180
Legacy,steinbrunn,6,CHAIN,6,2,5,126,235,361
Novel,steinbrunn,6,CHAIN,6,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,6,2,6,126,282,408
Novel,steinbrunn,6,CHAIN,6,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,6,2,7,126,329,455
Novel,steinbrunn,6,CHAIN,6,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,6,2,8,126,376,502
Novel,steinbrunn,6,CHAIN,6,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,7,0,1,126,21,147
Novel,steinbrunn,6,CHAIN,7,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,7,0,2,126,42,168
Novel,steinbrunn,6,CHAIN,7,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,7,0,3,126,63,189
Novel,steinbrunn,6,CHAIN,7,0,3,44,24,68
Legacy,steinbrunn,6,CHAIN,7,0,4,126,84,210
Novel,steinbrunn,6,CHAIN,7,0,4,44,40,84
Legacy,steinbrunn,6,CHAIN,7,0,5,126,105,231
Novel,steinbrunn,6,CHAIN,7,0,5,44,60,104
Legacy,steinbrunn,6,CHAIN,7,0,6,126,126,252
Novel,steinbrunn,6,CHAIN,7,0,6,44,84,128
Legacy,steinbrunn,6,CHAIN,7,0,7,126,147,273
Novel,steinbrunn,6,CHAIN,7,0,7,44,112,156
Legacy,steinbrunn,6,CHAIN,7,0,8,126,168,294
Novel,steinbrunn,6,CHAIN,7,0,8,44,144,188
Legacy,steinbrunn,6,CHAIN,7,1,1,126,34,160
Novel,steinbrunn,6,CHAIN,7,1,1,44,16,60
Legacy,steinbrunn,6,CHAIN,7,1,2,126,68,194
Novel,steinbrunn,6,CHAIN,7,1,2,44,36,80
Legacy,steinbrunn,6,CHAIN,7,1,3,126,102,228
Novel,steinbrunn,6,CHAIN,7,1,3,44,60,104
Legacy,steinbrunn,6,CHAIN,7,1,4,126,136,262
Novel,steinbrunn,6,CHAIN,7,1,4,44,88,132
Legacy,steinbrunn,6,CHAIN,7,1,5,126,170,296
Novel,steinbrunn,6,CHAIN,7,1,5,44,120,164
Legacy,steinbrunn,6,CHAIN,7,1,6,126,204,330
Novel,steinbrunn,6,CHAIN,7,1,6,44,156,200
Legacy,steinbrunn,6,CHAIN,7,1,7,126,238,364
Novel,steinbrunn,6,CHAIN,7,1,7,44,196,240
Legacy,steinbrunn,6,CHAIN,7,1,8,126,272,398
Novel,steinbrunn,6,CHAIN,7,1,8,44,240,284
Legacy,steinbrunn,6,CHAIN,7,2,1,126,47,173
Novel,steinbrunn,6,CHAIN,7,2,1,44,28,72
Legacy,steinbrunn,6,CHAIN,7,2,2,126,94,220
Novel,steinbrunn,6,CHAIN,7,2,2,44,60,104
Legacy,steinbrunn,6,CHAIN,7,2,3,126,141,267
Novel,steinbrunn,6,CHAIN,7,2,3,44,96,140
Legacy,steinbrunn,6,CHAIN,7,2,4,126,188,314
Novel,steinbrunn,6,CHAIN,7,2,4,44,136,180
Legacy,steinbrunn,6,CHAIN,7,2,5,126,235,361
Novel,steinbrunn,6,CHAIN,7,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,7,2,6,126,282,408
Novel,steinbrunn,6,CHAIN,7,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,7,2,7,126,329,455
Novel,steinbrunn,6,CHAIN,7,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,7,2,8,126,376,502
Novel,steinbrunn,6,CHAIN,7,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,8,0,1,126,21,147
Novel,steinbrunn,6,CHAIN,8,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,8,0,2,126,42,168
Novel,steinbrunn,6,CHAIN,8,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,8,0,3,126,63,189
Novel,steinbrunn,6,CHAIN,8,0,3,44,24,68
Legacy,steinbrunn,6,CHAIN,8,0,4,126,84,210
Novel,steinbrunn,6,CHAIN,8,0,4,44,40,84
Legacy,steinbrunn,6,CHAIN,8,0,5,126,105,231
Novel,steinbrunn,6,CHAIN,8,0,5,44,60,104
Legacy,steinbrunn,6,CHAIN,8,0,6,126,126,252
Novel,steinbrunn,6,CHAIN,8,0,6,44,84,128
Legacy,steinbrunn,6,CHAIN,8,0,7,126,147,273
Novel,steinbrunn,6,CHAIN,8,0,7,44,112,156
Legacy,steinbrunn,6,CHAIN,8,0,8,126,168,294
Novel,steinbrunn,6,CHAIN,8,0,8,44,144,188
Legacy,steinbrunn,6,CHAIN,8,1,1,126,34,160
Novel,steinbrunn,6,CHAIN,8,1,1,44,16,60
Legacy,steinbrunn,6,CHAIN,8,1,2,126,68,194
Novel,steinbrunn,6,CHAIN,8,1,2,44,36,80
Legacy,steinbrunn,6,CHAIN,8,1,3,126,102,228
Novel,steinbrunn,6,CHAIN,8,1,3,44,60,104
Legacy,steinbrunn,6,CHAIN,8,1,4,126,136,262
Novel,steinbrunn,6,CHAIN,8,1,4,44,88,132
Legacy,steinbrunn,6,CHAIN,8,1,5,126,170,296
Novel,steinbrunn,6,CHAIN,8,1,5,44,120,164
Legacy,steinbrunn,6,CHAIN,8,1,6,126,204,330
Novel,steinbrunn,6,CHAIN,8,1,6,44,156,200
Legacy,steinbrunn,6,CHAIN,8,1,7,126,238,364
Novel,steinbrunn,6,CHAIN,8,1,7,44,196,240
Legacy,steinbrunn,6,CHAIN,8,1,8,126,272,398
Novel,steinbrunn,6,CHAIN,8,1,8,44,240,284
Legacy,steinbrunn,6,CHAIN,8,2,1,126,47,173
Novel,steinbrunn,6,CHAIN,8,2,1,44,28,72
Legacy,steinbrunn,6,CHAIN,8,2,2,126,94,220
Novel,steinbrunn,6,CHAIN,8,2,2,44,60,104
Legacy,steinbrunn,6,CHAIN,8,2,3,126,141,267
Novel,steinbrunn,6,CHAIN,8,2,3,44,96,140
Legacy,steinbrunn,6,CHAIN,8,2,4,126,188,314
Novel,steinbrunn,6,CHAIN,8,2,4,44,136,180
Legacy,steinbrunn,6,CHAIN,8,2,5,126,235,361
Novel,steinbrunn,6,CHAIN,8,2,5,44,180,224
Legacy,steinbrunn,6,CHAIN,8,2,6,126,282,408
Novel,steinbrunn,6,CHAIN,8,2,6,44,228,272
Legacy,steinbrunn,6,CHAIN,8,2,7,126,329,455
Novel,steinbrunn,6,CHAIN,8,2,7,44,280,324
Legacy,steinbrunn,6,CHAIN,8,2,8,126,376,502
Novel,steinbrunn,6,CHAIN,8,2,8,44,336,380
Legacy,steinbrunn,6,CHAIN,9,0,1,126,22,148
Novel,steinbrunn,6,CHAIN,9,0,1,44,4,48
Legacy,steinbrunn,6,CHAIN,9,0,2,126,44,170
Novel,steinbrunn,6,CHAIN,9,0,2,44,12,56
Legacy,steinbrunn,6,CHAIN,9,0,3,126,66,192
